run,epsilon,gamma,round,accuracy
5,4,0.004,9,0.7454
5,4,0.004,10,0.7505
5,4,0.004,11,0.7533
5,4,0.004,12,0.7538
5,4,0.004,13,0.752
5,4,0.004,14,0.7546
5,4,0.004,15,0.7544
5,4,0.004,16,0.7552
5,4,0.004,17,0.7597
5,4,0.004,18,0.7584
5,4,0.004,19,0.7583
1,4,0.006,1,0.0931
1,4,0.006,2,0.4867
1,4,0.006,3,0.6914
1,4,0.006,4,0.7434
1,4,0.006,5,0.8014
1,4,0.006,6,0.8115
1,4,0.006,7,0.8834
1,4,0.006,8,0.8983
1,4,0.006,9,0.9022
1,4,0.006,10,0.907
1,4,0.006,11,0.9104
1,4,0.006,12,0.914
1,4,0.006,13,0.9248
1,4,0.006,14,0.9192
1,4,0.006,15,0.9203
1,4,0.006,16,0.9251
1,4,0.006,17,0.9189
1,4,0.006,18,0.9277
1,4,0.006,19,0.9323
2,4,0.006,1,0.1171
2,4,0.006,2,0.4637
2,4,0.006,3,0.6114
2,4,0.006,4,0.7301
2,4,0.006,5,0.8302
2,4,0.006,6,0.89
2,4,0.006,7,0.8917
2,4,0.006,8,0.9043
2,4,0.006,9,0.9099
2,4,0.006,10,0.9064
2,4,0.006,11,0.9097
2,4,0.006,12,0.9183
2,4,0.006,13,0.9202
2,4,0.006,14,0.9259
2,4,0.006,15,0.9255
2,4,0.006,16,0.9312
2,4,0.006,17,0.9282
2,4,0.006,18,0.9311
2,4,0.006,19,0.9312
3,4,0.006,1,0.0851
3,4,0.006,2,0.5131
3,4,0.006,3,0.697
3,4,0.006,4,0.7291
3,4,0.006,5,0.7698
3,4,0.006,6,0.759
3,4,0.006,7,0.7882
3,4,0.006,8,0.805
3,4,0.006,9,0.8072
3,4,0.006,10,0.8086
3,4,0.006,11,0.792
3,4,0.006,12,0.8163
3,4,0.006,13,0.8181
3,4,0.006,14,0.8196
3,4,0.006,15,0.8224
3,4,0.006,16,0.827
3,4,0.006,17,0.8239
3,4,0.006,18,0.8259
3,4,0.006,19,0.8274
4,4,0.006,1,0.119
4,4,0.006,2,0.5184
4,4,0.006,3,0.6464
4,4,0.006,4,0.7079
4,4,0.006,5,0.7952
4,4,0.006,6,0.8005
4,4,0.006,7,0.8118
4,4,0.006,8,0.8247
4,4,0.006,9,0.8285
4,4,0.006,10,0.8283
4,4,0.006,11,0.831
4,4,0.006,12,0.8377
4,4,0.006,13,0.8409
4,4,0.006,14,0.8357
4,4,0.006,15,0.841
4,4,0.006,16,0.8437
4,4,0.006,17,0.8451
4,4,0.006,18,0.8449
4,4,0.006,19,0.846
5,4,0.006,1,0.0656
5,4,0.006,2,0.5378
5,4,0.006,3,0.7057
5,4,0.006,4,0.7628
5,4,0.006,5,0.8181
5,4,0.006,6,0.8784
5,4,0.006,7,0.8929
5,4,0.006,8,0.9087
5,4,0.006,9,0.9093
5,4,0.006,10,0.9174
5,4,0.006,11,0.9202
5,4,0.006,12,0.9245
5,4,0.006,13,0.9285
5,4,0.006,14,0.9274
5,4,0.006,15,0.9292
5,4,0.006,16,0.9334
5,4,0.006,17,0.9319
5,4,0.006,18,0.9334
5,4,0.006,19,0.9353
1,8,0,1,0.1006
1,8,0,2,0.4937
1,8,0,3,0.7485
1,8,0,4,0.8864
1,8,0,5,0.9033
1,8,0,6,0.9141
1,8,0,7,0.9175
1,8,0,8,0.9202
1,8,0,9,0.9279
1,8,0,10,0.9288
1,8,0,11,0.9317
1,8,0,12,0.935
1,8,0,13,0.9342
1,8,0,14,0.9412
1,8,0,15,0.9398
1,8,0,16,0.9425
1,8,0,17,0.9436
1,8,0,18,0.9483
1,8,0,19,0.9477
1,8,0,20,0.9494
1,8,0,21,0.9524
1,8,0,22,0.9535
1,8,0,23,0.9536
1,8,0,24,0.9543
1,8,0,25,0.9557
1,8,0,26,0.9571
1,8,0,27,0.9596
1,8,0,28,0.9583
